Marital_status,Application_mode,Application_order,Course,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status,Nationality,Attendance
Single,1st phase - general contingent,2,Nursing,Secondary education,124.0,Unknown,Unknown,Student,Student,123.3,Yes,No,No,Yes,Female,Yes,20,No,8,8,7,14.901428571428571,8,8,7,14.901428571428571,9.4,-0.8,-3.12,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,3,Nursing,Secondary education,135.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Machine Operator,Machine Operator,126.3,Yes,No,Yes,Yes,Female,Yes,18,No,7,8,7,12.65,8,9,8,12.445555555555554,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,Change of institution/course,1,Management (evening attendance),Professional higher technical course,110.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Unskilled Labor,128.2,No,No,No,No,Female,No,22,No,6,12,7,11.0,5,5,5,10.6,8.9,1.4,3.51,Dropout,Portuguese,Evening
Single,2nd phase - general contingent,1,Veterinary Nursing,Secondary education,138.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Can read without having a 4th year of schooling,Other,Industry/Construction,134.9,Yes,No,No,Yes,Female,No,20,No,5,7,4,12.4,5,9,5,12.666666666666666,7.6,2.6,0.32,Graduate,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Agronomy,Technological specialization course,140.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Agriculture/Fishery,Agriculture/Fishery,140.0,No,No,No,Yes,Female,No,19,No,6,7,6,12.0,6,7,6,12.666666666666666,12.4,0.5,1.79,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,126.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Agriculture/Fishery,Industry/Construction,115.5,Yes,No,No,Yes,Female,Yes,19,No,7,8,7,12.135714285714286,8,10,7,13.328571428571427,12.4,0.5,1.79,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,2,Nursing,Secondary education,113.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Industry/Construction,106.7,Yes,No,No,Yes,Female,Yes,20,No,7,10,5,12.62,7,8,6,12.5,11.1,0.6,2.02,Enrolled,Portuguese,Daytime
Single,Over 23 years old,1,Management (evening attendance),Secondary education,120.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Technical,Technical,140.0,No,No,No,Yes,Female,No,25,No,5,11,3,10.666666666666666,5,11,3,11.333333333333334,15.5,2.8,-4.06,Enrolled,Portuguese,Evening
Single,1st phase - general contingent,1,Nursing,Secondary education,145.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Industry/Construction,136.6,No,No,No,Yes,Female,Yes,19,No,7,12,6,13.766666666666666,8,10,7,14.051428571428572,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,3rd phase - general contingent,1,Nursing,Secondary education,124.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Industry/Construction,119.3,Yes,No,No,Yes,Female,No,19,No,8,8,8,13.11625,8,8,8,13.11625,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Communication Design,Secondary education,160.0,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Management/Government,Unskilled Labor,152.0,Yes,No,No,No,Female,No,19,No,5,5,0,12.285714285714286,6,0,0,12.2,10.8,1.4,1.74,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,138.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Services/Retail,144.3,No,No,No,Yes,Female,No,20,No,7,9,6,12.7,8,8,7,13.571428571428571,13.9,-0.3,0.79,Graduate,Portuguese,Daytime
Single,Over 23 years old,2,Oral Hygiene,Secondary education,130.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,159.0,Yes,No,No,Yes,Female,No,25,No,7,11,7,11.857142857142858,8,8,5,11.7,12.4,0.5,1.79,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,1,Nursing,Secondary education,127.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Services/Retail,Unskilled Labor,129.5,Yes,No,No,Yes,Female,Yes,20,No,7,7,6,12.333333333333334,7,7,6,12.333333333333334,7.6,2.6,0.32,Graduate,Portuguese,Daytime
Single,Over 23 years old,1,Social Service,Secondary education,133.1,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Unskilled Labor,140.0,Yes,No,No,Yes,Female,No,24,No,6,9,4,15.75,6,10,5,16.4,9.4,-0.8,-3.12,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,3,Advertising and Marketing Management,Secondary education,111.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Services/Retail,Services/Retail,105.4,No,No,No,Yes,Female,No,20,No,5,6,5,13.333333333333334,5,6,5,13.2,7.6,2.6,0.32,Graduate,Portuguese,Daytime
Single,Transfer,1,Nursing,Secondary education,133.1,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Machine Operator,136.0,Yes,No,No,Yes,Female,No,21,No,7,9,7,14.355555555555554,8,8,8,13.49375,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Agronomy,Technological specialization course,160.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,160.0,No,No,Yes,Yes,Female,Yes,19,No,6,8,6,13.0,6,11,5,13.0,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Journalism and Communication,Secondary education,152.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,139.1,No,No,No,Yes,Female,Yes,19,No,6,6,6,12.833333333333334,6,6,6,13.5,16.2,0.3,-0.92,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,2,Advertising and Marketing Management,Secondary education,144.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,126.9,No,No,No,Yes,Female,Yes,21,No,5,5,5,13.2,5,5,4,13.0,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Single,Over 23 years old,1,Nursing,Higher education - degree,133.8,Higher Education - Degree,Basic education 1st cycle (4th/5th year) or equiv.,Professional/Scientific,Military,126.1,No,No,No,Yes,Female,No,28,No,7,9,7,12.285714285714286,8,9,8,16.582222222222224,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Social Service,Secondary education,125.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,125.0,Yes,No,Yes,No,Female,Yes,19,No,6,8,5,10.6,6,8,5,11.0,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,150.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Agriculture/Fishery,138.5,No,No,No,Yes,Female,Yes,18,No,5,5,5,14.0,5,6,5,13.6,12.4,0.5,1.79,Graduate,Portuguese,Daytime
Facto Union,2nd phase - general contingent,1,Nursing,Secondary education,143.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Services/Retail,Machine Operator,133.5,Yes,No,No,Yes,Female,Yes,18,No,8,8,7,12.114285714285714,8,8,7,12.114285714285714,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,3,Nursing,Secondary education,145.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Industry/Construction,Industry/Construction,141.5,Yes,No,No,Yes,Female,Yes,18,No,8,8,8,13.05875,8,8,8,13.05875,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Single,Transfer,1,Nursing,Secondary education,120.0,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Unskilled Labor,Technical,130.0,Yes,No,No,Yes,Female,No,22,No,8,8,7,13.285714285714286,8,8,7,13.285714285714286,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,138.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Industry/Construction,131.0,Yes,No,No,Yes,Female,No,19,No,5,9,4,11.0,5,8,3,10.666666666666666,12.4,0.5,1.79,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,145.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Services/Retail,145.0,No,No,No,Yes,Female,Yes,18,No,7,7,7,14.071428571428571,8,8,8,15.1625,13.9,-0.3,0.79,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Tourism,Secondary education,122.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Agriculture/Fishery,114.3,No,No,No,No,Female,No,20,No,6,0,0,12.285714285714286,6,0,0,12.2,15.5,2.8,-4.06,Dropout,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Animation and Multimedia Design,Technological specialization course,110.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Agriculture/Fishery,108.3,No,No,No,No,Female,No,26,No,9,9,4,11.25,10,12,3,11.0,12.4,0.5,1.79,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,3,Communication Design,Secondary education,136.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,125.2,Yes,No,No,Yes,Female,Yes,18,No,6,6,6,14.0,6,8,6,13.625,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Tourism,Secondary education,145.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative,Unskilled Labor,131.7,Yes,No,No,Yes,Female,Yes,21,No,6,8,6,12.166666666666666,6,11,3,11.666666666666666,10.8,1.4,1.74,Dropout,Portuguese,Daytime
Single,2nd phase - general contingent,1,Nursing,Secondary education,141.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Technical,Technical,126.3,Yes,No,No,Yes,Female,No,18,No,8,8,7,13.297142857142855,8,8,7,13.297142857142855,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Veterinary Nursing,Secondary education,149.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Agriculture/Fishery,147.6,Yes,No,No,Yes,Female,No,20,No,6,14,6,13.923076923076923,6,9,6,14.25,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,130.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Agriculture/Fishery,125.1,Yes,No,No,Yes,Female,No,18,No,7,11,7,13.37,8,13,7,12.833333333333334,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Management,Secondary education,121.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Industry/Construction,Unskilled Labor,123.8,No,No,No,Yes,Female,Yes,19,No,5,5,5,12.4,5,8,3,11.0,12.7,3.7,-1.7,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Advertising and Marketing Management,Secondary education,128.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Professional/Scientific,Professional/Scientific,130.8,Yes,No,No,Yes,Female,No,20,No,5,5,4,15.0,5,5,4,13.75,7.6,2.6,0.32,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,1,Basic Education,Secondary education,152.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Services/Retail,154.1,No,No,Yes,Yes,Female,Yes,18,No,6,6,6,13.333333333333334,6,7,6,12.571428571428571,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - special contingent (Madeira Island),2,Management,Secondary education,132.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,122.6,Yes,No,No,Yes,Female,Yes,20,No,5,8,3,12.0,5,9,4,12.625,10.8,1.4,1.74,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,2,Social Service (evening attendance),Secondary education,107.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,7th Year (Old),Student,Student,103.5,Yes,No,No,Yes,Female,No,22,No,6,7,5,13.4,6,9,5,12.2,7.6,2.6,0.32,Graduate,Portuguese,Evening
Single,1st phase - general contingent,1,Animation and Multimedia Design,Secondary education,131.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative,Services/Retail,132.8,Yes,No,No,Yes,Female,No,18,No,6,0,0,12.285714285714286,6,0,0,12.2,7.6,2.6,0.32,Enrolled,Portuguese,Daytime
Single,Change of institution/course,1,Management (evening attendance),Secondary education,141.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Services/Retail,Industry/Construction,100.0,No,No,No,Yes,Female,No,21,No,5,9,4,11.5,5,5,5,11.4,8.9,1.4,3.51,Graduate,Portuguese,Evening
Single,3rd phase - general contingent,2,Basic Education,Secondary education,120.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Student,115.8,No,No,No,Yes,Female,No,18,No,7,12,6,12.0,7,11,6,12.166666666666666,13.9,-0.3,0.79,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,148.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Administrative,133.8,No,No,No,Yes,Female,No,18,No,8,8,7,13.485714285714284,8,8,7,13.485714285714284,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Communication Design,Secondary education,130.0,Other - 11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Services/Retail,118.5,No,Yes,No,Yes,Female,Yes,18,No,6,6,6,12.0,6,8,6,11.285714285714286,8.9,1.4,3.51,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Animation and Multimedia Design,Secondary education,145.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Management/Government,150.3,Yes,No,No,Yes,Female,No,19,No,6,0,0,12.285714285714286,6,0,0,12.2,15.5,2.8,-4.06,Dropout,Portuguese,Daytime
Single,2nd phase - general contingent,3,Management,Secondary education,112.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technical,Services/Retail,107.8,Yes,No,No,Yes,Female,No,19,No,5,7,3,10.333333333333334,5,11,3,14.428571428571429,10.8,1.4,1.74,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,138.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Administrative,127.5,Yes,No,No,Yes,Female,No,19,No,7,10,5,12.94,7,7,5,13.76,16.2,0.3,-0.92,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,3,Nursing,Secondary education,135.0,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Industry/Construction,Industry/Construction,120.5,Yes,No,No,Yes,Female,No,19,No,8,11,7,13.258571428571427,8,11,7,13.258571428571427,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,118.0,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Military,Military,117.3,Yes,No,No,Yes,Female,No,19,No,5,9,4,12.25,5,10,4,12.0,8.9,1.4,3.51,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,1,Tourism,Secondary education,123.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Industry/Construction,120.6,Yes,No,No,No,Female,No,19,No,6,9,3,11.666666666666666,6,15,1,10.0,10.8,1.4,1.74,Dropout,Portuguese,Daytime
Single,1st phase - special contingent (Madeira Island),1,Tourism,Secondary education,126.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Industry/Construction,118.7,Yes,No,No,Yes,Female,Yes,21,No,6,7,6,13.571428571428571,6,6,6,12.5,8.9,1.4,3.51,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,2,Journalism and Communication,Secondary education,150.0,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Industry/Construction,130.8,No,No,No,Yes,Female,Yes,20,Yes,6,9,5,11.8,6,9,5,11.833333333333334,15.5,2.8,-4.06,Graduate,Brazilian,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,121.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technical,Unskilled Labor,112.6,Yes,No,No,Yes,Female,Yes,20,No,5,7,5,14.2,5,7,5,13.285714285714286,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,Over 23 years old,1,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,117.2,No,No,No,Yes,Female,No,20,No,5,8,5,11.0,5,6,5,11.8,7.6,2.6,0.32,Graduate,Portuguese,Evening
Divorced,Holders of other higher courses,1,Nursing,Higher education - degree (1st cycle),130.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Technical,Technical,130.0,Yes,No,No,Yes,Female,No,32,No,7,16,4,13.625,7,8,7,12.6375,12.4,0.5,1.79,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,3,Nursing,Secondary education,139.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Services/Retail,131.8,Yes,No,No,Yes,Female,No,18,No,8,8,7,14.652857142857142,8,8,7,14.652857142857142,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Divorced,Over 23 years old,1,Social Service (evening attendance),Secondary education,160.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Technical,Administrative,97.0,No,No,No,Yes,Female,Yes,20,No,6,9,6,11.333333333333334,6,6,6,11.333333333333334,15.5,2.8,-4.06,Graduate,Portuguese,Evening
Single,Over 23 years old,1,Nursing,Secondary education,110.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,130.0,No,No,Yes,No,Female,No,32,No,7,12,4,13.7,7,7,0,12.2,16.2,0.3,-0.92,Dropout,Portuguese,Daytime
Single,Over 23 years old,1,Social Service (evening attendance),Higher education - degree (1st cycle),140.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Unskilled Labor,148.0,No,No,No,Yes,Female,No,20,No,6,11,5,13.727272727272728,8,8,8,14.75,12.4,0.5,1.79,Graduate,Portuguese,Evening
Married,Over 23 years old,2,Management,Higher education - degree,130.0,Higher Education - Degree,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,103.4,No,No,No,Yes,Female,No,30,No,7,9,7,11.75,8,12,7,11.142857142857142,12.7,3.7,-1.7,Dropout,Portuguese,Daytime
Single,Change of course,2,Journalism and Communication,Secondary education,132.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Student,Student,127.1,No,No,No,Yes,Male,No,23,No,6,9,6,12.333333333333334,6,11,5,13.0,7.6,2.6,0.32,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,2,Journalism and Communication,Secondary education,139.0,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Professional/Scientific,Industry/Construction,124.0,Yes,No,No,Yes,Female,Yes,20,No,6,6,6,14.0,6,7,6,13.857142857142858,15.5,2.8,-4.06,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,1,Advertising and Marketing Management,Secondary education,135.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Industry/Construction,121.4,No,No,No,Yes,Male,No,21,No,5,7,4,11.5,5,6,4,11.75,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,117.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Industry/Construction,118.1,No,No,No,Yes,Male,No,19,No,5,6,5,11.2,5,5,5,13.2,12.4,0.5,1.79,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Nursing,Secondary education,137.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Technical,121.3,Yes,No,No,Yes,Male,Yes,18,No,8,8,7,15.07,8,8,7,15.07,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,Transfer,1,Informatics Engineering,Secondary education,144.0,Unknown,Unknown,Student,Student,119.5,No,No,No,Yes,Male,No,18,No,5,6,1,10.0,5,7,1,12.0,10.8,1.4,1.74,Dropout,Portuguese,Daytime
Single,Over 23 years old,1,Management (evening attendance),Secondary education,130.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative,Military,115.2,No,No,No,Yes,Male,No,24,No,5,5,4,12.0,5,6,5,12.666666666666666,12.4,0.5,1.79,Enrolled,Portuguese,Evening
Single,3rd phase - general contingent,1,Advertising and Marketing Management,Secondary education,140.0,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,130.2,Yes,No,No,Yes,Male,No,22,No,6,11,4,13.0,6,11,4,12.6,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Tourism,Secondary education,130.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Services/Retail,Services/Retail,130.0,Yes,No,No,Yes,Male,No,18,No,6,7,4,11.0,6,7,3,11.25,16.2,0.3,-0.92,Dropout,Portuguese,Daytime
Single,1st phase - special contingent (Madeira Island),2,Social Service,Secondary education,130.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Agriculture/Fishery,126.9,Yes,No,No,Yes,Female,No,18,No,6,8,6,13.571428571428571,6,11,5,12.166666666666666,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,2,Communication Design,Secondary education,152.0,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Management/Government,126.1,Yes,No,No,Yes,Male,No,21,Yes,6,7,5,14.6,6,6,5,14.2,16.2,0.3,-0.92,Graduate,Mexican,Daytime
Divorced,Over 23 years old,1,Nursing,Secondary education,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,130.0,No,No,Yes,Yes,Female,No,20,No,7,13,3,11.833333333333334,7,14,2,10.0,16.2,0.3,-0.92,Dropout,Portuguese,Daytime
Single,3rd phase - general contingent,1,Oral Hygiene,Secondary education,140.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,122.8,No,No,No,Yes,Female,Yes,19,No,7,11,7,12.625,8,11,8,12.5125,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Legally Separated,Over 23 years old,1,Nursing,Secondary education,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,110.0,No,No,No,Yes,Female,No,20,No,7,12,4,11.5,7,14,3,12.333333333333334,16.2,0.3,-0.92,Dropout,Portuguese,Daytime
Single,1st phase - special contingent (Madeira Island),1,Veterinary Nursing,Secondary education,140.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Unskilled Labor,127.1,Yes,No,No,Yes,Female,No,18,No,5,8,4,13.25,5,10,4,10.5,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,3,Nursing,Secondary education,133.1,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Services/Retail,108.5,Yes,No,No,Yes,Female,No,19,No,7,9,7,12.60625,8,12,6,11.9,12.4,0.5,1.79,Graduate,Portuguese,Daytime
